participants,Round 0 - Deceptive Points,Round 0 - Find Brain Tumors,Round 0 - Latent Model Classification,Round 1 - The Defected Nuts,Round 1 - Autocorrect,Round 1 - Is that audio?,Round 2 - Essay Gap,Round 2 - Audio Demixing,Round 2 - Face Matching,Round 3 - Drawn Apart,Round 3 - Sound of Nature,Round 3 - Morty's Time Paradox,Round 4 - Sticky Note Blindness,Round 4 - Alchemy,Round 4 - Extreme Condensation,Round 5 - Watermark Removal,Round 5 - Lost Interpreter,Round 5 - Visual Relations,Round 6 - Classifier Classifier,Round 6 - Massive Problem,Round 6 - Nuclei Reconstruction,Round 7 - Polarity,Round 7 - Oriented Ship,Round 7 - Scientific Facts,Round 9 - Word Lookups,Round 9 - Buried Fault,Round 9 - Shuffled,Round 10 - What I Want and What I Don't,Round 10 - Inverse Translation,Round 10 - Moment Match
task leaderboard links,https://www.kaggle.com/competitions/deceptive-points-aicc-round-0/leaderboard,https://www.kaggle.com/competitions/aicc-round-0-brain-tumor/leaderboard,https://www.kaggle.com/competitions/latent-model-classification-aicc-round-0/leaderboard,https://www.kaggle.com/competitions/the-defected-nuts-aicc-round-1-2/leaderboard,https://www.kaggle.com/competitions/autocorrect-aicc-round-1-2/leaderboard,https://www.kaggle.com/competitions/is-that-audio-aicc-round-1-2/leaderboard,https://www.kaggle.com/competitions/essay-gap-aicc-round-2/leaderboard,https://www.kaggle.com/competitions/audio-demixing-aicc-round-2/leaderboard,https://www.kaggle.com/competitions/face-matching-aicc-round-2/leaderboard,https://www.kaggle.com/competitions/drawn-apart-aicc-round-3/leaderboard,https://www.kaggle.com/competitions/sound-of-nature-aicc-round-3/leaderboard,https://www.kaggle.com/competitions/mortys-time-paradox-aicc-round-3/leaderboard,https://www.kaggle.com/competitions/sticky-note-blindness-aicc-round-4/leaderboard,https://www.kaggle.com/competitions/alchemy-aicc-round-4/leaderboard,https://www.kaggle.com/competitions/extreme-condensation-aicc-round-4/leaderboard,https://www.kaggle.com/competitions/watermark-removal-aicc-round-5/leaderboard,https://www.kaggle.com/competitions/lost-interpreter-aicc-round-5/leaderboard,https://www.kaggle.com/competitions/visual-relations-aicc-round-5/leaderboard,https://www.kaggle.com/competitions/classifier-classifier-aicc-round-6/leaderboard,https://www.kaggle.com/competitions/massive-problem-aicc-round-6/leaderboard,https://www.kaggle.com/competitions/nuclei-reconstruction-aicc-round-6/leaderboard,https://www.kaggle.com/competitions/polarity-aicc-round-7/leaderboard,https://www.kaggle.com/competitions/oriented-ship-aicc-round-7/leaderboard,https://www.kaggle.com/competitions/scientific-facts-aicc-round-7/leaderboard,https://www.kaggle.com/competitions/aicc-round-9-word-lookups/leaderboard,https://www.kaggle.com/competitions/buried-fault-aicc-round-9/leaderboard,https://www.kaggle.com/competitions/shuffled-aicc-round-9/leaderboard,https://www.kaggle.com/competitions/what-i-want-and-what-i-dont-aicc-round-10/leaderboard,https://www.kaggle.com/competitions/inverse-translation-aicc-round-10/leaderboard,https://www.kaggle.com/competitions/moment-match-aicc-round-10/leaderboard
reference score,0.0650,0.7801,0.9880,0.7485,0.0966,0.7551,0.9615,0.0346,0.8372,0.4938,0.7549,0.9946,0.9195,0.6571,0.2980,28.0144,20.0716,0.1663,1.0000,0.3811,0.5940,0.9008,0.8765,0.7880,0.8786,0.7306,1.0000,0.9412,100.0000,0.6710
baseline score,60.2980,0.3714,0.4840,0.7485,0.0966,0.7551,0.1000,0.0346,0.1779,0.3948,0.0222,0.2173,0.4712,0.0857,0.0560,281.3580,44.5200,0.0037,0.1916,0.2299,0.1527,0.4728,0.1287,0.5160,0.7842,0.0863,0.0150,0.6666,7.5456,0.4578
abdullahshafi2021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,1.3864,0.0000,NaN,NaN,NaN
abhisheek4268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aboubacardiarra1810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0000,5.6351,21.5743,0.0000,1.2233,2.2843,0.0000,NaN,NaN
abukanabek,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.4703,NaN,NaN,NaN,NaN,NaN,NaN,3.2710,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
adibfirstofhisname,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.0674,NaN,NaN,98.5314,NaN,54.3275,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ahihi1234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.3605,18.9692,100.0000,NaN,NaN,NaN
ahnafmuhtasim,NaN,NaN,NaN,2.2171,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
