participants,Round 8 - Dice Counting,Round 8 - Pixel Quest,Round 8 - Archivist's Cards
task leaderboard links,https://judge.nitro-ai.org/competitions/aicc/aicc-round-8/leaderboard/partial?page=1&page_size=100,https://judge.nitro-ai.org/competitions/aicc/aicc-round-8/leaderboard/partial?page=1&page_size=100,https://judge.nitro-ai.org/competitions/aicc/aicc-round-8/leaderboard/partial?page=1&page_size=100
reference score,100.0000,100.0000,100.0000
baseline score,0.0000,0.0000,0.0000
aith_notsixhoursession,21.0000,83.0000,42.0000
promesse7,54.0000,43.0000,39.0000
lunar5395,45.0000,60.0000,6.0000
away_in_the_heavens,23.0000,42.0000,37.0000
pacifique,24.0000,26.0000,42.0000
Baidoc_Patric,0.0000,0.0000,71.0000
adilbai,0.0000,42.0000,16.0000
NistorIulian,6.0000,40.0000,3.0000
the_first,0.0000,45.0000,0.0000
thespace,0.0000,40.0000,0.0000
balint,38.0000,0.0000,0.0000
sabkx,17.0000,0.0000,0.0000
arnurartykbay,4.0000,0.0000,0.0000
Rudra_123,3.0000,0.0000,0.0000
whatzurname,2.0000,1.0000,0.0000
abba,0.0000,1.0000,0.0000
Goga,0.0000,0.0000,0.0000
briane,0.0000,0.0000,0.0000
dimacator,0.0000,0.0000,0.0000
dimashynty,0.0000,0.0000,0.0000
mltc,0.0000,0.0000,0.0000
vivo2,0.0000,0.0000,0.0000
