participants,Round 0 - Deceptive Points,Round 0 - Find Brain Tumors,Round 0 - Latent Model Classification,Round 1 - The Defected Nuts,Round 1 - Autocorrect,Round 1 - Is that audio?,Round 2 - Essay Gap,Round 2 - Audio Demixing,Round 2 - Face Matching,Round 3 - Drawn Apart,Round 3 - Sound of Nature,Round 3 - Morty's Time Paradox,Round 4 - Sticky Note Blindness,Round 4 - Alchemy,Round 4 - Extreme Condensation,Round 5 - Watermark Removal,Round 5 - Lost Interpreter,Round 5 - Visual Relations,Round 6 - Classifier Classifier,Round 6 - Massive Problem,Round 6 - Nuclei Reconstruction,Round 7 - Polarity,Round 7 - Oriented Ship,Round 7 - Scientific Facts,Round 9 - Word Lookups,Round 9 - Buried Fault,Round 9 - Shuffled,Round 10 - What I Want and What I Don't,Round 10 - Inverse Translation,Round 10 - Moment Match
task leaderboard links,https://www.kaggle.com/competitions/deceptive-points-aicc-round-0/leaderboard,https://www.kaggle.com/competitions/aicc-round-0-brain-tumor/leaderboard,https://www.kaggle.com/competitions/latent-model-classification-aicc-round-0/leaderboard,https://www.kaggle.com/competitions/the-defected-nuts-aicc-round-1-2/leaderboard,https://www.kaggle.com/competitions/autocorrect-aicc-round-1-2/leaderboard,https://www.kaggle.com/competitions/is-that-audio-aicc-round-1-2/leaderboard,https://www.kaggle.com/competitions/essay-gap-aicc-round-2/leaderboard,https://www.kaggle.com/competitions/audio-demixing-aicc-round-2/leaderboard,https://www.kaggle.com/competitions/face-matching-aicc-round-2/leaderboard,https://www.kaggle.com/competitions/drawn-apart-aicc-round-3/leaderboard,https://www.kaggle.com/competitions/sound-of-nature-aicc-round-3/leaderboard,https://www.kaggle.com/competitions/mortys-time-paradox-aicc-round-3/leaderboard,https://www.kaggle.com/competitions/sticky-note-blindness-aicc-round-4/leaderboard,https://www.kaggle.com/competitions/alchemy-aicc-round-4/leaderboard,https://www.kaggle.com/competitions/extreme-condensation-aicc-round-4/leaderboard,https://www.kaggle.com/competitions/watermark-removal-aicc-round-5/leaderboard,https://www.kaggle.com/competitions/lost-interpreter-aicc-round-5/leaderboard,https://www.kaggle.com/competitions/visual-relations-aicc-round-5/leaderboard,https://www.kaggle.com/competitions/classifier-classifier-aicc-round-6/leaderboard,https://www.kaggle.com/competitions/massive-problem-aicc-round-6/leaderboard,https://www.kaggle.com/competitions/nuclei-reconstruction-aicc-round-6/leaderboard,https://www.kaggle.com/competitions/polarity-aicc-round-7/leaderboard,https://www.kaggle.com/competitions/oriented-ship-aicc-round-7/leaderboard,https://www.kaggle.com/competitions/scientific-facts-aicc-round-7/leaderboard,https://www.kaggle.com/competitions/aicc-round-9-word-lookups/leaderboard,https://www.kaggle.com/competitions/buried-fault-aicc-round-9/leaderboard,https://www.kaggle.com/competitions/shuffled-aicc-round-9/leaderboard,https://www.kaggle.com/competitions/what-i-want-and-what-i-dont-aicc-round-10/leaderboard,https://www.kaggle.com/competitions/inverse-translation-aicc-round-10/leaderboard,https://www.kaggle.com/competitions/moment-match-aicc-round-10/leaderboard
reference score,0.065,0.78010,0.988,0.7485,0.0966,0.7551,0.96150,0.03461,0.83722,0.4938,0.75485,0.9946,0.9195,0.6571,0.2980,28.01444,20.0716,0.1663,1.0000,0.3811,0.59403,0.9008,0.8765,0.788,0.8786,0.7306,1.0000,0.9412,100.0000,0.6710
baseline score,60.298,0.37142,0.484,0.7485,0.0966,0.7551,0.10000,0.03461,0.17792,0.3948,0.02222,0.2173,0.4712,0.0857,0.0560,281.35800,44.5200,0.0037,0.1916,0.2299,0.15272,0.4728,0.1287,0.516,0.7842,0.0863,0.0150,0.6666,7.5456,0.4578
abdullahshafi2021,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7842,0.0948,0.0150,NaN,NaN,NaN
abhisheek4268,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2173,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aboubacardiarra1810,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3261,0.1659,0.590,0.7178,0.0938,0.0375,0.6666,NaN,NaN
abukanabek,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1440,NaN,NaN,NaN,NaN,NaN,NaN,0.4889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
adibfirstofhisname,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,15.9972,NaN,NaN,0.4513,NaN,0.7402,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ahihi1234,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9123,0.2026,1.0000,NaN,NaN,NaN
ahnafmuhtasim,NaN,NaN,NaN,0.7533,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
aithbb,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5747,0.0000,0.0640,NaN,NaN,NaN,0.1771,NaN,NaN,0.7413,0.4991,0.765,0.8908,0.0999,0.2857,NaN,NaN,NaN
aleksandarslavov4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8925,NaN,NaN,NaN,NaN,NaN
andreim42,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8530,0.2556,0.46876,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
andriaakofovi,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0000,NaN,NaN,0.5889,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
andriishobotenko,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2111,NaN,NaN,NaN,NaN
andriybill,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8207,7.7229,0.4934
antoningorokva,0.293,0.18240,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7681,NaN,NaN,NaN,NaN,NaN,NaN,NaN
apollo199999999,17.774,0.66929,0.569,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
archexistence,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.71737,0.2545,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
arnurartyqbay,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8429,NaN,NaN
atommax,58.521,0.16162,0.563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.7758,0.1428,0.1880,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
avnermlim,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8816,NaN,NaN,NaN,NaN,NaN
ayanzeeshan11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6666,18.1134,0.4639
bachnguyendinh,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.3394,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
baidalinadilzhan,NaN,NaN,NaN,0.7485,NaN,NaN,0.96291,0.00725,0.79834,0.6546,0.78659,0.9946,0.8448,0.5714,0.1780,26.67287,26.7504,0.1263,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.0888,0.0150,NaN,NaN,NaN
balint46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2600,NaN,NaN,NaN,NaN,47.1280,NaN,0.8811,0.3984,NaN,0.5421,0.2499,NaN,0.8788,NaN,0.0075,NaN,NaN,NaN
bartoszkasyna,1.487,0.72992,0.929,0.9650,0.0895,0.7551,NaN,NaN,0.87056,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bartosztrojan,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.1000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
benight,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.6559,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
binminh01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.8856,NaN,0.40911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
brostommk,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.5320,0.1253,0.712,0.7842,NaN,NaN,NaN,NaN,NaN
bruhbruh69,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.2986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
budzajantoni,NaN,0.37142,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
carsoncheng,18.144,0.26307,0.897,0.8156,0.0878,0.7755,0.93820,0.01035,0.63863,NaN,0.55689,0.2760,0.8850,0.4571,0.1440,17.08780,17.3022,0.0133,0.9021,0.2805,0.48764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.4852
chilldude99,0.012,0.79590,0.987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
